POINTID,ELEVATION,X_LOC,Y_LOC
121,684.3900147,2304136.664,4828959.757
122,761.039978,2304636.664,4828959.757
123,786.3800049,2305136.664,4828959.757
124,663.9299927,2305636.664,4828959.757
125,664.6599731,2306136.664,4828959.757
126,789.0900269,2306636.664,4828959.757
127,732.1599731,2307136.664,4828959.757
128,782.5200195,2307636.664,4828959.757
129,524.3099976,2292136.664,4828459.757
130,575.2199707,2292636.664,4828459.757
131,566.7199707,2293136.664,4828459.757
132,525.539978,2293636.664,4828459.757
133,703.2999878,2294136.664,4828459.757
134,789.8300171,2294636.664,4828459.757
135,770.9799805,2295136.664,4828459.757
136,644.6300049,2295636.664,4828459.757
137,791.960022,2296136.664,4828459.757
138,887.9000244,2296636.664,4828459.757
139,792.6599731,2297136.664,4828459.757
140,667.0800171,2297636.664,4828459.757
141,747.9899902,2298136.664,4828459.757
142,782.5800171,2298636.664,4828459.757
143,824.3099976,2299136.664,4828459.757
144,774.2000122,2299636.664,4828459.757
145,868.8599853,2300136.664,4828459.757
146,861.289978,2300636.664,4828459.757
147,840.8599853,2301136.664,4828459.757
148,830.0200195,2301636.664,4828459.757
149,851.8499756,2302136.664,4828459.757
150,911.4299927,2302636.664,4828459.757
151,824.9000244,2303136.664,4828459.757
152,718.9199829,2303636.664,4828459.757
153,784.0499878,2304136.664,4828459.757
154,847.4500122,2304636.664,4828459.757
155,711.7199707,2305136.664,4828459.757
156,717.7299805,2305636.664,4828459.757
157,656.1599731,2306136.664,4828459.757
158,780.9699707,2306636.664,4828459.757
159,796.1799927,2307136.664,4828459.757
160,489.75,2292136.664,4827959.757
161,498.9599915,2292636.664,4827959.757
162,451.1900024,2293136.664,4827959.757
163,599.0700073,2293636.664,4827959.757
164,692.9000244,2294136.664,4827959.757
165,827.3099976,2294636.664,4827959.757
166,705.0200195,2295136.664,4827959.757
167,649.9799805,2295636.664,4827959.757
168,814.5300293,2296136.664,4827959.757
169,761.9899902,2296636.664,4827959.757
170,715.3699951,2297136.664,4827959.757
171,613.3599853,2297636.664,4827959.757
172,724.1199951,2298136.664,4827959.757
173,690.4400024,2298636.664,4827959.757
174,736.6300049,2299136.664,4827959.757
175,772.0300293,2299636.664,4827959.757
176,698.6300049,2300136.664,4827959.757
177,809.2000122,2300636.664,4827959.757
178,769.4199829,2301136.664,4827959.757
179,761.5,2301636.664,4827959.757
180,838,2302136.664,4827959.757
181,893.8699951,2302636.664,4827959.757
182,800.460022,2303136.664,4827959.757
183,786.9799805,2303636.664,4827959.757
184,861.7800293,2304136.664,4827959.757
185,769.3400269,2304636.664,4827959.757
186,711.3599853,2305136.664,4827959.757
187,797.1400147,2305636.664,4827959.757
188,677.5300293,2306136.664,4827959.757
189,788.2399902,2306636.664,4827959.757
190,409.7099915,2291636.664,4827459.757
191,433.730011,2292136.664,4827459.757
192,452.3399963,2292636.664,4827459.757
193,484.2999878,2293136.664,4827459.757
194,671.039978,2293636.664,4827459.757
195,704.3699951,2294136.664,4827459.757
196,725.3599853,2294636.664,4827459.757
197,556.0300293,2295136.664,4827459.757
198,656.4899902,2295636.664,4827459.757
199,784.5900269,2296136.664,4827459.757
200,774.3699951,2296636.664,4827459.757
201,606.4299927,2297136.664,4827459.757
202,582.8400269,2297636.664,4827459.757
203,687.6300049,2298136.664,4827459.757
204,685.8800049,2298636.664,4827459.757
205,667.7399902,2299136.664,4827459.757
206,701.3900147,2299636.664,4827459.757
207,710.0800171,2300136.664,4827459.757
208,763.8200073,2300636.664,4827459.757
209,687.2000122,2301136.664,4827459.757
210,725.0999756,2301636.664,4827459.757
211,838.1099853,2302136.664,4827459.757
212,884.5200195,2302636.664,4827459.757
213,817.5599976,2303136.664,4827459.757
214,876.2999878,2303636.664,4827459.757
215,881.3699951,2304136.664,4827459.757
216,776.4699707,2304636.664,4827459.757
217,830.9400024,2305136.664,4827459.757
218,725.9000244,2305636.664,4827459.757
219,673.8800049,2306136.664,4827459.757
220,780.1599731,2306636.664,4827459.757
221,347.1000061,2291136.664,4826959.757
222,354.4200134,2291636.664,4826959.757
223,448.2399902,2292136.664,4826959.757
224,409.2000122,2292636.664,4826959.757
225,480.1300049,2293136.664,4826959.757
226,557.1500244,2293636.664,4826959.757
227,692.539978,2294136.664,4826959.757
228,675.6900024,2294636.664,4826959.757
229,501.4400024,2295136.664,4826959.757
230,618.6699829,2295636.664,4826959.757
231,773.7700195,2296136.664,4826959.757
232,745.3800049,2296636.664,4826959.757
233,660.6900024,2297136.664,4826959.757
234,574.7999878,2297636.664,4826959.757
235,653.4899902,2298136.664,4826959.757
236,689.6900024,2298636.664,4826959.757
237,595.289978,2299136.664,4826959.757
238,594.3200073,2299636.664,4826959.757
239,778.1699829,2300136.664,4826959.757
240,671.1400147,2300636.664,4826959.757
241,616.8499756,2301136.664,4826959.757
242,729.6799927,2301636.664,4826959.757
243,847.9799805,2302136.664,4826959.757
244,934.8900147,2302636.664,4826959.757
245,836.4000244,2303136.664,4826959.757
246,876.7199707,2303636.664,4826959.757
247,920.5100098,2304136.664,4826959.757
248,888.1400147,2304636.664,4826959.757
249,822.2000122,2305136.664,4826959.757
250,722.2600098,2305636.664,4826959.757
251,749.7999878,2306136.664,4826959.757
252,318.3900147,2290636.664,4826459.757
253,330.2200012,2291136.664,4826459.757
254,346.7000122,2291636.664,4826459.757
255,368.5299988,2292136.664,4826459.757
256,410.4400024,2292636.664,4826459.757
257,516.3800049,2293136.664,4826459.757
258,682.0200195,2293636.664,4826459.757
259,598.1900024,2294136.664,4826459.757
260,604.4400024,2294636.664,4826459.757
261,538.3900147,2295136.664,4826459.757
262,651.9299927,2295636.664,4826459.757
263,788.2000122,2296136.664,4826459.757
264,672.9899902,2296636.664,4826459.757
265,595.7600098,2297136.664,4826459.757
266,502.7799988,2297636.664,4826459.757
267,563.0499878,2298136.664,4826459.757
268,708.0100098,2298636.664,4826459.757
269,542.4699707,2299136.664,4826459.757
270,661.1500244,2299636.664,4826459.757
271,731.6500244,2300136.664,4826459.757
272,574.6199951,2300636.664,4826459.757
273,710.4799805,2301136.664,4826459.757
274,890.789978,2301636.664,4826459.757
275,833.8599853,2302136.664,4826459.757
276,822.9699707,2302636.664,4826459.757
277,846.1599731,2303136.664,4826459.757
278,933.460022,2303636.664,4826459.757
279,854.6799927,2304136.664,4826459.757
280,830.2199707,2304636.664,4826459.757
281,800.3800049,2305136.664,4826459.757
282,727.9699707,2305636.664,4826459.757
283,313.25,2290636.664,4825959.757
284,319.2600098,2291136.664,4825959.757
285,331.3800049,2291636.664,4825959.757
286,340.0899963,2292136.664,4825959.757
287,373.3500061,2292636.664,4825959.757
288,476.8599853,2293136.664,4825959.757
289,587.7199707,2293636.664,4825959.757
290,515.6599731,2294136.664,4825959.757
291,519.25,2294636.664,4825959.757
292,507.4899902,2295136.664,4825959.757
293,612.5100098,2295636.664,4825959.757
294,728.1400147,2296136.664,4825959.757
295,590.7800293,2296636.664,4825959.757
296,585.6300049,2297136.664,4825959.757
297,493.4500122,2297636.664,4825959.757
298,585.7600098,2298136.664,4825959.757
299,664.2800293,2298636.664,4825959.757
300,492.75,2299136.664,4825959.757
301,658.5100098,2299636.664,4825959.757
302,595.0800171,2300136.664,4825959.757
303,591.9299927,2300636.664,4825959.757
304,769,2301136.664,4825959.757
305,764.7399902,2301636.664,4825959.757
306,707.8699951,2302136.664,4825959.757
307,766.7299805,2302636.664,4825959.757
308,766,2303136.664,4825959.757
309,848.1699829,2303636.664,4825959.757
310,828.8499756,2304136.664,4825959.757
311,759.7000122,2304636.664,4825959.757
312,747.2399902,2305136.664,4825959.757
313,310.3800049,2290636.664,4825459.757
314,312.480011,2291136.664,4825459.757
315,318.5,2291636.664,4825459.757
316,323.6600037,2292136.664,4825459.757
317,350.3099976,2292636.664,4825459.757
318,393.4599915,2293136.664,4825459.757
